variance,kurtosis,skewness,frequency,load,label
0.0492,7.2060,0.0562,30,0,1
0.0474,6.8930,-0.0637,30,0,1
0.0512,6.7603,-0.0557,30,0,1
0.0527,7.0757,-0.0732,30,0,1
0.0498,6.6536,0.0985,30,0,1
0.0515,6.9216,-0.0608,30,0,1
0.0494,7.4778,0.0821,30,0,1
0.0495,7.1491,0.0647,30,0,1
0.0521,7.5766,-0.0618,30,0,1
0.0529,7.4534,0.0239,30,0,1
0.0503,6.1544,-0.0593,30,0,1
0.0496,6.5963,-0.0907,30,0,1
0.0513,6.7895,0.0661,30,0,1
0.0493,6.5376,0.0992,30,0,1
0.0490,7.2809,0.0027,30,0,1
0.0499,7.1368,0.0215,30,0,1
0.0530,7.4161,0.0831,30,0,1
0.0519,7.3437,-0.1969,30,0,1
0.0510,7.4145,0.1281,30,0,1
0.0512,7.5635,-0.0446,30,0,1
0.0479,6.6024,-0.0614,30,0,1
0.0500,7.1663,0.0449,30,0,1
0.0526,7.0349,-0.0634,30,0,1
0.0521,6.8096,-0.1374,30,0,1
0.0584,6.2249,-0.1605,30,50,2
0.0593,6.1719,-0.2215,30,50,2
0.0644,5.8309,0.0072,30,50,2
0.0633,5.7376,0.0216,30,50,2
0.0616,5.5870,-0.0029,30,50,2
0.0634,6.1329,-0.0781,30,50,2
0.0638,5.8397,0.1594,30,50,2
0.0628,5.6993,0.1291,30,50,2
0.0600,6.0567,-0.1458,30,50,2
0.0628,6.3572,-0.2226,30,50,2
0.0608,6.1310,0.0111,30,50,2
0.0624,5.7825,0.0579,30,50,2
0.0628,5.8680,0.0963,30,50,2
0.0614,5.5225,0.0765,30,50,2
0.0621,5.7182,-0.2695,30,50,2
0.0619,6.0834,-0.2812,30,50,2
0.0639,5.7550,0.0428,30,50,2
0.0644,6.0522,0.1002,30,50,2
0.0620,6.4749,-0.0399,30,50,2
0.0618,5.6507,-0.0901,30,50,2
0.0609,6.2968,-0.0912,30,50,2
0.0612,6.1924,-0.1533,30,50,2
0.0672,5.9725,-0.1252,30,50,2
0.0655,6.0274,0.0504,30,50,2
0.0696,5.4503,-0.0138,30,100,3
0.0711,5.7466,-0.0328,30,100,3
0.0778,5.2631,-0.0294,30,100,3
0.0771,5.6068,0.0512,30,100,3
0.0665,4.8333,-0.0633,30,100,3
0.0691,5.6016,-0.0848,30,100,3
0.0734,5.5821,-0.0540,30,100,3
0.0719,5.9559,-0.1204,30,100,3
0.0708,5.1985,0.1170,30,100,3
0.0710,5.3663,0.1602,30,100,3
0.0698,5.3999,-0.2180,30,100,3
0.0673,5.2567,-0.1450,30,100,3
0.0726,5.7152,-0.0725,30,100,3
0.0728,5.6213,-0.0843,30,100,3
0.0723,5.3969,0.0577,30,100,3
0.0708,5.3777,0.1386,30,100,3
0.0713,5.5593,-0.1584,30,100,3
0.0690,5.3064,-0.1155,30,100,3
0.0744,5.5386,0.1264,30,100,3
0.0746,5.8978,0.1215,30,100,3
0.0697,5.1155,-0.0105,30,100,3
0.0693,5.4568,-0.1374,30,100,3
0.0747,5.4589,-0.2048,30,100,3
0.0761,5.7997,-0.2151,30,100,3
0.0538,7.2093,-0.3523,35,0,4
0.0525,5.9720,-0.1414,35,0,4
0.0518,5.1960,0.0258,35,0,4
0.0555,6.3208,-0.1219,35,0,4
0.0547,6.1925,-0.2378,35,0,4
0.0569,7.0096,0.0077,35,0,4
0.0595,6.8737,0.0390,35,0,4
0.0538,5.4942,-0.0461,35,0,4
0.0574,6.5014,0.0053,35,0,4
0.0541,5.4652,0.1266,35,0,4
0.0533,6.0177,-0.1620,35,0,4
0.0570,6.9017,-0.1617,35,0,4
0.0528,5.2302,0.0801,35,0,4
0.0564,6.2826,-0.1371,35,0,4
0.0569,6.6462,0.0895,35,0,4
0.0549,6.0928,0.0406,35,0,4
0.0557,6.5424,-0.0332,35,0,4
0.0532,5.8846,0.2574,35,0,4
0.0517,6.2477,0.0796,35,0,4
0.0544,6.8557,-0.0199,35,0,4
0.0525,5.7655,0.0113,35,0,4
0.0571,7.1113,-0.1622,35,0,4
0.0556,6.3075,-0.1942,35,0,4
0.0521,5.2410,0.0374,35,0,4
0.0741,5.9869,0.1677,35,50,5
0.0679,5.1412,0.1586,35,50,5
0.0726,5.6869,-0.1175,35,50,5
0.0715,5.3586,-0.0814,35,50,5
0.0677,5.6124,-0.0079,35,50,5
0.0681,5.5637,-0.0326,35,50,5
0.0673,5.4767,-0.0133,35,50,5
0.0697,5.3273,-0.0954,35,50,5
0.0700,5.5786,0.0988,35,50,5
0.0679,5.1425,0.0959,35,50,5
0.0682,5.4593,-0.0170,35,50,5
0.0674,5.0374,-0.1292,35,50,5
0.0695,5.8588,-0.1233,35,50,5
0.0664,5.7380,-0.1020,35,50,5
0.0696,5.0160,0.0529,35,50,5
0.0718,5.2936,0.0533,35,50,5
0.0711,5.5830,0.0999,35,50,5
0.0697,5.3632,0.0337,35,50,5
0.0720,5.5294,0.0061,35,50,5
0.0697,5.5941,-0.0556,35,50,5
0.0676,5.0679,0.0657,35,50,5
0.0661,5.0758,0.0281,35,50,5
0.0668,5.3753,0.0111,35,50,5
0.0684,5.1682,-0.0649,35,50,5
0.0819,5.3844,-0.1725,35,100,6
0.0827,5.0927,-0.2922,35,100,6
0.0788,4.8522,0.0518,35,100,6
0.0780,4.8613,-0.1270,35,100,6
0.0852,4.5372,-0.0448,35,100,6
0.0854,4.8214,-0.0043,35,100,6
0.0849,4.4269,-0.1004,35,100,6
0.0844,4.7734,-0.1255,35,100,6
0.0874,5.2717,0.0782,35,100,6
0.0866,4.9485,0.0616,35,100,6
0.0813,4.7605,0.0668,35,100,6
0.0805,4.8330,-0.0115,35,100,6
0.0789,4.9484,-0.2375,35,100,6
0.0804,5.0177,-0.1351,35,100,6
0.0779,5.1289,0.0145,35,100,6
0.0785,5.0759,-0.0712,35,100,6
0.0783,4.4359,-0.1313,35,100,6
0.0796,4.8032,-0.1278,35,100,6
0.0797,4.9253,-0.1519,35,100,6
0.0831,5.3073,0.0173,35,100,6
0.0803,4.7601,0.0950,35,100,6
0.0823,4.6741,0.1239,35,100,6
0.0802,5.3268,0.1041,35,100,6
0.0818,5.5335,0.2937,35,100,6
0.0622,5.7865,-0.1685,40,0,7
0.0615,5.8365,-0.1025,40,0,7
0.0627,5.9183,0.0401,40,0,7
0.0627,6.3380,0.0725,40,0,7
