variance,kurtosis,skewness,frequency,load,label
0.0482,6.1496,0.0110,30,0,64
0.0475,6.4235,-0.1059,30,0,64
0.0482,6.4000,0.0483,30,0,64
0.0472,6.3097,0.0372,30,0,64
0.0491,7.2712,0.0234,30,0,64
0.0480,6.3863,0.0274,30,0,64
0.0498,7.6027,0.0860,30,0,64
0.0499,6.4964,0.0787,30,0,64
0.0506,6.6731,-0.1350,30,0,64
0.0530,7.0290,-0.1331,30,0,64
0.0502,6.3888,0.1227,30,0,64
0.0519,6.6538,0.0631,30,0,64
0.0529,5.9664,-0.0666,30,0,64
0.0549,6.0200,-0.0677,30,0,64
0.0528,6.6419,-0.2601,30,0,64
0.0522,6.9785,-0.3374,30,0,64
0.0506,7.1918,-0.0606,30,0,64
0.0516,7.2806,0.0343,30,0,64
0.0458,6.8948,0.1183,30,0,64
0.0454,7.2322,0.1756,30,0,64
0.0469,6.0464,0.0735,30,0,64
0.0455,6.3281,0.0364,30,0,64
0.0476,6.4047,0.0231,30,0,64
0.0463,6.4680,0.0173,30,0,64
0.0655,5.8327,-0.2854,30,50,65
0.0674,5.6857,-0.2186,30,50,65
0.0669,5.1710,0.2235,30,50,65
0.0702,5.7674,0.2318,30,50,65
0.0651,4.8363,-0.1506,30,50,65
0.0641,4.9762,-0.0854,30,50,65
0.0662,5.0131,0.0292,30,50,65
0.0671,5.3155,0.0787,30,50,65
0.0603,4.9615,-0.0203,30,50,65
0.0602,5.2008,-0.0647,30,50,65
0.0623,5.5044,0.0051,30,50,65
0.0633,5.6458,-0.0548,30,50,65
0.0611,6.0944,-0.0781,30,50,65
0.0614,5.7943,-0.1674,30,50,65
0.0691,5.9674,0.0094,30,50,65
0.0691,6.2050,-0.0555,30,50,65
0.0680,5.6523,-0.0389,30,50,65
0.0644,5.4009,-0.0535,30,50,65
0.0697,5.7773,0.0677,30,50,65
0.0658,5.2409,-0.0585,30,50,65
0.0644,5.3156,-0.0555,30,50,65
0.0650,5.2076,-0.0980,30,50,65
0.0623,5.5581,-0.0765,30,50,65
0.0623,5.3678,-0.0150,30,50,65
0.0771,5.1419,-0.1668,30,100,66
0.0771,5.1560,-0.2151,30,100,66
0.0770,4.9563,0.1013,30,100,66
0.0776,4.8660,0.0793,30,100,66
0.0776,4.9853,-0.1332,30,100,66
0.0762,4.7638,-0.1205,30,100,66
0.0805,5.0431,-0.1290,30,100,66
0.0790,5.2698,-0.1125,30,100,66
0.0734,5.2259,0.0078,30,100,66
0.0743,4.9676,0.1350,30,100,66
0.0766,5.1888,0.1184,30,100,66
0.0771,5.2481,0.1025,30,100,66
0.0735,4.5033,-0.0377,30,100,66
0.0747,4.8902,0.0191,30,100,66
0.0782,5.4985,0.2601,30,100,66
0.0766,5.1717,0.2156,30,100,66
0.0768,5.1248,0.1802,30,100,66
0.0758,5.1364,0.1985,30,100,66
0.0770,5.2047,-0.2167,30,100,66
0.0755,4.7720,-0.1732,30,100,66
0.0737,4.7778,-0.0945,30,100,66
0.0746,5.0244,-0.0810,30,100,66
0.0754,4.9777,-0.0858,30,100,66
0.0745,4.9863,0.0592,30,100,66
0.0532,5.0097,-0.0004,35,0,67
0.0603,6.1354,-0.0210,35,0,67
0.0552,5.1393,-0.1044,35,0,67
0.0587,6.1950,-0.1035,35,0,67
0.0539,5.8418,-0.0889,35,0,67
0.0560,5.9816,-0.1859,35,0,67
0.0548,5.9149,0.2075,35,0,67
0.0551,6.1123,0.0470,35,0,67
