variance,kurtosis,skewness,frequency,load,label
0.0445,6.6837,0.0011,30,0,43
0.0461,6.5055,0.0107,30,0,43
0.0544,5.8863,-0.0774,30,0,43
0.0532,5.9459,-0.0195,30,0,43
0.0458,6.8284,0.0751,30,0,43
0.0456,6.7446,0.0513,30,0,43
0.0517,7.5722,0.1453,30,0,43
0.0517,6.6855,0.1558,30,0,43
0.0542,6.3982,-0.0198,30,0,43
0.0540,6.3405,0.0225,30,0,43
0.0496,6.8151,-0.2119,30,0,43
0.0519,6.9501,-0.1646,30,0,43
0.0507,7.2076,0.1877,30,0,43
0.0512,6.8637,0.1625,30,0,43
0.0459,6.1778,0.1560,30,0,43
0.0451,6.2794,-0.0500,30,0,43
0.0499,6.4140,0.1046,30,0,43
0.0512,6.5066,0.0571,30,0,43
0.0529,6.8526,0.1001,30,0,43
0.0527,7.0976,0.2004,30,0,43
0.0493,6.5995,-0.4110,30,0,43
0.0494,6.8272,-0.1408,30,0,43
0.0529,6.7506,-0.1227,30,0,43
0.0533,6.5841,-0.0839,30,0,43
0.0719,5.3517,-0.0546,30,50,44
0.0695,5.3486,0.0169,30,50,44
0.0685,5.0315,-0.1306,30,50,44
0.0697,4.9980,-0.1953,30,50,44
0.0657,5.1237,-0.1304,30,50,44
0.0671,5.5605,-0.0685,30,50,44
0.0643,5.4170,0.1493,30,50,44
0.0653,5.4305,0.0947,30,50,44
0.0679,5.5839,0.0622,30,50,44
0.0687,6.0653,0.1057,30,50,44
0.0701,6.1052,-0.1053,30,50,44
0.0711,5.8558,-0.0389,30,50,44
0.0657,5.7727,0.0827,30,50,44
0.0637,5.4110,0.1095,30,50,44
0.0698,5.7899,-0.1073,30,50,44
0.0701,5.4179,-0.0966,30,50,44
0.0715,5.3724,-0.0545,30,50,44
0.0725,5.5961,-0.0205,30,50,44
0.0658,4.9807,0.0784,30,50,44
0.0657,5.1740,0.0886,30,50,44
0.0702,4.9718,-0.1147,30,50,44
0.0711,5.1955,-0.0810,30,50,44
0.0716,5.0937,0.0318,30,50,44
0.0716,5.4642,0.0036,30,50,44
0.0834,4.6997,0.0714,30,100,45
0.0819,4.6035,0.0427,30,100,45
0.0806,4.9720,-0.1035,30,100,45
0.0799,4.7411,-0.0906,30,100,45
0.0861,4.8284,0.0551,30,100,45
0.0856,5.1030,0.0541,30,100,45
0.0771,4.8366,-0.0288,30,100,45
0.0783,5.1399,-0.0161,30,100,45
0.0822,4.9937,-0.0543,30,100,45
0.0811,5.3392,-0.0697,30,100,45
0.0757,4.8078,0.1391,30,100,45
0.0775,4.9196,0.0060,30,100,45
0.0753,4.4240,-0.0889,30,100,45
0.0742,4.8190,0.0173,30,100,45
0.0811,4.4999,0.0419,30,100,45
0.0831,4.7059,-0.0078,30,100,45
0.0756,4.7645,0.0155,30,100,45
0.0752,4.9907,0.1094,30,100,45
0.0803,5.2437,0.0205,30,100,45
0.0767,5.2392,-0.0178,30,100,45
0.0859,4.7634,0.0944,30,100,45
0.0844,4.6346,0.0417,30,100,45
0.0763,5.0280,0.0233,30,100,45
0.0761,4.9626,-0.0471,30,100,45
0.0621,5.2705,-0.0086,35,0,46
0.0627,5.6134,-0.0878,35,0,46
0.0616,5.1899,-0.0783,35,0,46
0.0642,5.7120,0.1169,35,0,46
0.0582,5.5932,0.1197,35,0,46
0.0596,5.4594,0.0732,35,0,46
0.0606,5.3542,-0.1813,35,0,46
0.0646,5.9299,-0.0801,35,0,46
0.0601,5.4158,-0.0943,35,0,46
0.0625,6.0127,0.0265,35,0,46
0.0606,4.8364,0.0650,35,0,46
0.0649,5.9471,-0.0731,35,0,46
0.0623,6.0952,-0.2247,35,0,46
0.0580,4.9865,-0.1753,35,0,46
0.0669,6.1002,0.0059,35,0,46
0.0646,5.4321,0.0953,35,0,46
0.0617,5.0770,0.1407,35,0,46
0.0642,5.9013,-0.2405,35,0,46
0.0634,5.8683,-0.1378,35,0,46
0.0628,5.3126,0.1622,35,0,46
0.0648,6.0470,0.1844,35,0,46
0.0604,4.7916,0.0591,35,0,46
0.0597,5.3287,0.0351,35,0,46
0.0601,5.3150,-0.0009,35,0,46
0.0793,5.1017,-0.0027,35,50,47
0.0761,5.0806,-0.1846,35,50,47
0.0730,5.4454,0.1675,35,50,47
0.0728,4.6710,0.0882,35,50,47
0.0749,4.9776,0.0059,35,50,47
0.0762,4.7512,-0.0578,35,50,47
0.0732,4.7095,0.0056,35,50,47
0.0749,5.0009,0.0086,35,50,47
0.0758,4.3937,0.0850,35,50,47
0.0788,4.7627,0.0922,35,50,47
0.0780,5.0048,-0.0555,35,50,47
0.0804,5.1519,-0.0168,35,50,47
0.0789,5.0439,-0.0593,35,50,47
0.0785,4.6068,-0.0421,35,50,47
0.0778,4.9367,0.1786,35,50,47
0.0786,5.0845,0.1008,35,50,47
0.0794,4.7528,0.0110,35,50,47
0.0807,4.9172,0.0184,35,50,47
0.0779,4.8053,0.0243,35,50,47
0.0816,5.3358,0.0362,35,50,47
0.0792,4.9046,0.0588,35,50,47
0.0768,4.5164,0.0453,35,50,47
0.0741,4.7156,0.0711,35,50,47
0.0776,5.0267,0.0244,35,50,47
0.0927,4.5246,-0.0863,35,100,48
0.0924,4.5530,-0.0867,35,100,48
0.0891,4.4466,0.1060,35,100,48
0.0890,4.5090,0.1558,35,100,48
0.0896,4.3243,-0.0143,35,100,48
0.0886,4.3322,0.0781,35,100,48
0.0992,4.6095,-0.1754,35,100,48
0.0980,4.3678,-0.1122,35,100,48
0.0927,4.2975,-0.1109,35,100,48
0.0913,4.2026,-0.0776,35,100,48
0.0918,4.2607,0.0760,35,100,48
0.0909,4.4451,0.0402,35,100,48
0.0910,4.4428,-0.0690,35,100,48
0.0912,4.0424,0.0271,35,100,48
0.0966,4.5643,-0.0048,35,100,48
0.0960,4.3460,0.0001,35,100,48
0.0879,4.3403,-0.0413,35,100,48
0.0907,4.6112,-0.0733,35,100,48
0.0952,4.3356,0.1096,35,100,48
0.0943,4.3891,0.0749,35,100,48
0.0933,4.5704,0.1517,35,100,48
0.0907,4.1830,0.0011,35,100,48
0.0900,4.2425,-0.0271,35,100,48
0.0899,4.4847,-0.0265,35,100,48
0.0672,5.4794,-0.0074,40,0,49
0.0671,5.2687,0.0085,40,0,49
0.0662,5.1733,0.0674,40,0,49
0.0638,4.9158,0.0872,40,0,49
0.0696,4.8890,-0.0620,40,0,49
0.0689,4.7702,-0.0418,40,0,49
0.0658,5.0646,0.0429,40,0,49
0.0669,5.3553,0.0176,40,0,49
0.0615,5.0751,-0.0228,40,0,49
0.0642,5.0098,0.0269,40,0,49
0.0665,4.8030,-0.0377,40,0,49
0.0679,4.9579,-0.0475,40,0,49
0.0647,4.9244,-0.0700,40,0,49
0.0690,5.3326,0.0870,40,0,49
0.0645,4.9143,-0.0136,40,0,49
0.0654,5.0478,-0.0541,40,0,49
0.0624,4.7863,0.0121,40,0,49
0.0669,5.3622,-0.1969,40,0,49
0.0676,4.9960,-0.0533,40,0,49
0.0688,4.9905,-0.0077,40,0,49
0.0660,5.1824,0.0547,40,0,49
0.0647,4.9207,0.0408,40,0,49
0.0647,4.9687,-0.1318,40,0,49
0.0672,5.4711,-0.1105,40,0,49
0.0858,4.7428,-0.0116,40,50,50
0.0850,5.0133,0.0020,40,50,50
0.0837,4.5112,0.0516,40,50,50
