variance,kurtosis,skewness,frequency,load,label
0.0882,7.1772,-0.1404,30,0,106
0.0875,7.0785,-0.0369,30,0,106
0.0870,6.8441,-0.0678,30,0,106
0.0859,7.0097,-0.0243,30,0,106
0.0912,8.0827,-0.4471,30,0,106
0.0920,8.2804,-0.3788,30,0,106
0.0987,7.7859,0.0624,30,0,106
0.0997,7.8254,0.0672,30,0,106
0.0951,7.4631,0.0298,30,0,106
0.0943,8.0151,0.0153,30,0,106
0.0781,6.7612,0.1713,30,0,106
0.0786,6.3460,0.1960,30,0,106
0.0782,6.6973,-0.0449,30,0,106
0.0775,6.3374,-0.0485,30,0,106
0.0786,6.8982,0.1358,30,0,106
0.0784,6.9634,0.0456,30,0,106
0.0753,6.7029,-0.0122,30,0,106
0.0762,6.6900,0.0111,30,0,106
0.0732,6.4864,-0.1239,30,0,106
0.0736,6.4490,-0.0902,30,0,106
0.0753,7.2714,-0.0846,30,0,106
0.0747,7.3352,-0.0393,30,0,106
0.0752,7.0691,-0.0481,30,0,106
0.0774,7.0232,0.0228,30,0,106
0.0785,7.3384,-0.1081,30,50,107
0.0781,6.9619,0.0347,30,50,107
0.0884,7.5793,-0.0143,30,50,107
0.0870,7.4854,-0.0183,30,50,107
0.0891,7.2048,0.1397,30,50,107
0.0878,6.6473,0.2469,30,50,107
0.0827,6.7831,0.0163,30,50,107
0.0826,6.6067,-0.0555,30,50,107
0.0809,6.6686,0.0014,30,50,107
0.0797,6.6710,-0.0656,30,50,107
0.0855,6.5658,-0.0518,30,50,107
0.0832,6.5228,-0.0373,30,50,107
0.0872,7.1612,0.1051,30,50,107
0.0869,7.4843,-0.0078,30,50,107
0.0809,7.0953,-0.0613,30,50,107
0.0808,7.2452,-0.1332,30,50,107
0.0827,7.1381,-0.1273,30,50,107
0.0863,7.2665,-0.1756,30,50,107
0.0875,6.7905,0.3048,30,50,107
0.0874,7.1715,0.1911,30,50,107
0.0827,6.9596,0.0422,30,50,107
0.0838,7.2804,-0.1016,30,50,107
0.0781,6.8708,-0.0109,30,50,107
0.0801,7.1435,0.0460,30,50,107
0.0874,6.8242,0.0078,30,100,108
0.0882,6.9105,0.0376,30,100,108
0.0884,6.9288,0.0645,30,100,108
0.0897,7.0056,0.0157,30,100,108
0.0905,7.0489,0.0732,30,100,108
0.0891,6.8052,0.1103,30,100,108
0.0847,6.4696,0.0409,30,100,108
0.0854,6.4775,0.0568,30,100,108
0.0833,6.4722,0.0649,30,100,108
0.0835,6.4142,0.0818,30,100,108
0.0899,6.6983,0.1546,30,100,108
0.0849,6.4038,0.1825,30,100,108
0.0868,6.9265,0.1873,30,100,108
0.0868,7.0189,0.1279,30,100,108
0.0883,7.3242,0.0486,30,100,108
0.0890,7.2143,0.1300,30,100,108
0.0887,7.2490,0.0522,30,100,108
0.0919,7.3370,0.0714,30,100,108
0.0922,7.0440,0.0297,30,100,108
0.0937,7.0871,0.0862,30,100,108
0.0959,7.0490,0.1532,30,100,108
0.0939,6.9133,0.1334,30,100,108
0.0945,6.4234,0.0699,30,100,108
0.0940,6.5668,0.1527,30,100,108
0.0947,7.1591,-0.2080,35,0,109
0.0947,6.7279,-0.1880,35,0,109
0.0894,6.9627,0.0653,35,0,109
0.0876,6.8939,-0.0191,35,0,109
0.0939,6.7001,0.0319,35,0,109
0.0940,6.8037,-0.0100,35,0,109
0.0850,5.9878,0.0904,35,0,109
0.0835,6.0101,0.0022,35,0,109
0.0857,6.0269,0.0965,35,0,109
0.0848,6.0441,0.1317,35,0,109
0.0771,6.6592,-0.0133,35,0,109
0.0752,6.6548,0.0092,35,0,109
0.0942,6.4717,-0.1910,35,0,109
0.0936,6.4569,-0.1535,35,0,109
0.0910,6.6639,-0.0515,35,0,109
0.0899,6.5900,-0.0052,35,0,109
0.0961,7.0701,0.0064,35,0,109
0.0935,6.4479,0.0717,35,0,109
0.0841,5.8082,-0.0014,35,0,109
0.0852,5.8880,0.0272,35,0,109
0.0862,6.1990,0.0536,35,0,109
0.0839,6.1150,0.0596,35,0,109
0.0788,6.0863,0.1083,35,0,109
0.0800,6.8797,0.0188,35,0,109
0.0923,6.5885,0.0784,35,50,110
0.0909,6.5228,0.0001,35,50,110
0.0919,6.6966,-0.1005,35,50,110
0.0923,6.8807,-0.0916,35,50,110
0.0947,6.0320,-0.0633,35,50,110
0.0960,6.0239,-0.0708,35,50,110
0.0907,6.2887,0.1012,35,50,110
0.0890,6.4341,0.0207,35,50,110
0.0939,6.7023,0.0875,35,50,110
0.0926,6.8255,0.0537,35,50,110
0.0933,6.3105,0.0053,35,50,110
0.0959,6.4808,0.0166,35,50,110
0.0931,6.3618,0.0117,35,50,110
0.0937,6.4357,0.0900,35,50,110
0.0952,6.1603,-0.1195,35,50,110
0.0929,6.1930,-0.0199,35,50,110
0.0926,6.3465,0.0283,35,50,110
0.0927,6.3598,0.0462,35,50,110
0.0955,6.9398,0.0050,35,50,110
0.0932,6.9703,0.0071,35,50,110
0.0915,6.7898,-0.1357,35,50,110
0.0902,6.3767,-0.0853,35,50,110
0.0927,6.1084,0.0715,35,50,110
0.0925,6.2137,0.0682,35,50,110
0.0989,6.6730,-0.0353,35,100,111
0.0980,6.5825,-0.1170,35,100,111
0.0877,6.7351,-0.0327,35,100,111
0.0869,6.3781,0.0802,35,100,111
0.0963,6.2795,-0.0178,35,100,111
0.0947,6.5352,-0.0388,35,100,111
0.0947,6.2619,-0.0815,35,100,111
0.0954,6.1699,-0.1443,35,100,111
0.0941,6.6131,-0.0667,35,100,111
0.0928,6.7215,-0.0649,35,100,111
0.0942,6.3058,-0.0854,35,100,111
0.0956,6.1901,0.0096,35,100,111
0.0981,6.1421,-0.0567,35,100,111
0.0961,6.2611,0.0095,35,100,111
0.0942,6.7933,0.0949,35,100,111
0.0956,6.5013,-0.0420,35,100,111
0.0953,6.7128,-0.0420,35,100,111
0.0941,6.7386,-0.0988,35,100,111
0.0943,6.5528,-0.0002,35,100,111
0.0948,6.5475,-0.0660,35,100,111
0.0910,6.7541,0.0300,35,100,111
0.0905,6.2940,0.1073,35,100,111
0.0938,6.3082,-0.0002,35,100,111
0.0910,6.5649,-0.0240,35,100,111
0.0882,5.8476,0.2617,40,0,112
0.0839,5.5687,0.0366,40,0,112
0.0926,6.0483,-0.1830,40,0,112
0.0925,5.7216,-0.1449,40,0,112
0.0985,6.2676,-0.0726,40,0,112
0.0992,6.4074,-0.0911,40,0,112
0.0898,5.6283,0.1579,40,0,112
0.0894,5.6746,0.1534,40,0,112
0.0939,5.5661,0.0928,40,0,112
0.0944,6.4841,-0.0092,40,0,112
0.0973,6.5719,-0.0357,40,0,112
0.0979,6.7426,-0.0177,40,0,112
0.0904,5.6354,0.0805,40,0,112
0.0897,5.6817,0.1151,40,0,112
0.0981,6.0361,-0.0734,40,0,112
0.0968,5.6271,-0.0104,40,0,112
0.0980,6.6201,0.0329,40,0,112
0.0972,6.5060,0.0635,40,0,112
0.0902,5.8066,0.1225,40,0,112
0.0909,5.9247,0.0858,40,0,112
0.0955,5.7956,0.1279,40,0,112
0.0941,5.8777,0.0975,40,0,112
0.0956,5.6208,-0.2072,40,0,112
0.0954,5.8116,-0.3075,40,0,112
0.1015,5.9729,-0.0059,40,50,113
0.1030,6.0749,-0.0109,40,50,113
0.1008,5.8815,0.0471,40,50,113
0.0997,5.6503,-0.0138,40,50,113
0.0997,6.0312,-0.1194,40,50,113
0.1016,5.8799,0.0012,40,50,113
0.1000,5.8880,0.0128,40,50,113
0.0987,5.8490,-0.0066,40,50,113
0.0992,6.1843,-0.0708,40,50,113
0.0979,6.0416,0.0249,40,50,113
0.1002,6.1339,0.0161,40,50,113
0.0997,5.8537,0.0098,40,50,113
0.0955,6.0405,0.0562,40,50,113
0.0957,6.0699,-0.0688,40,50,113
0.1022,5.9253,0.0054,40,50,113
0.1011,6.2107,-0.0018,40,50,113
0.0992,6.2384,0.0606,40,50,113
0.0963,5.9142,-0.0949,40,50,113
0.1010,6.3261,-0.0125,40,50,113
0.0997,6.3034,-0.0631,40,50,113
0.1020,6.3262,-0.0552,40,50,113
0.1023,6.2845,-0.0810,40,50,113
0.1010,6.2885,-0.0959,40,50,113
0.0971,6.0128,-0.1694,40,50,113
0.1009,5.9500,-0.1176,40,100,114
0.1012,5.9469,-0.0741,40,100,114
0.1058,6.4930,-0.0620,40,100,114
0.1055,6.2286,-0.0022,40,100,114
0.1054,5.8711,0.0778,40,100,114
0.1079,6.2192,0.0245,40,100,114
0.1064,5.9039,-0.0059,40,100,114
0.1071,6.0231,-0.0068,40,100,114
0.1043,5.9189,0.0282,40,100,114
0.1043,6.0283,0.0552,40,100,114
0.1076,6.3646,0.0594,40,100,114
0.1077,6.2153,0.0692,40,100,114
0.1043,6.0864,0.0244,40,100,114
0.1078,6.2891,0.0223,40,100,114
0.1063,5.8871,-0.0389,40,100,114
0.1076,5.7109,0.0597,40,100,114
0.1059,6.1452,-0.1082,40,100,114
0.1040,6.0120,-0.0027,40,100,114
0.1056,6.3149,0.0553,40,100,114
0.1088,6.4926,0.0232,40,100,114
0.1067,6.1807,-0.0059,40,100,114
0.1046,6.0625,0.0062,40,100,114
0.1014,5.9763,0.0251,40,100,114
0.1004,6.2706,-0.0870,40,100,114
0.0957,5.3767,-0.1121,45,0,115
0.0948,5.3876,-0.1741,45,0,115
0.0945,5.3273,0.2429,45,0,115
0.0934,5.2013,0.1468,45,0,115
0.0960,5.6252,-0.1541,45,0,115
0.0966,5.6892,-0.1370,45,0,115
0.0941,5.4026,0.2249,45,0,115
0.0958,5.2307,0.1246,45,0,115
0.0943,5.5279,-0.2184,45,0,115
0.0924,5.5803,-0.1500,45,0,115
0.0899,5.6687,0.0576,45,0,115
0.0901,5.7470,0.0708,45,0,115
0.0925,5.3314,-0.1316,45,0,115
0.0916,5.1811,-0.1066,45,0,115
0.0929,5.5182,0.1365,45,0,115
0.0926,5.6639,0.1181,45,0,115
0.0944,5.7144,-0.0964,45,0,115
0.0942,5.3862,-0.0975,45,0,115
0.0948,5.6895,0.0947,45,0,115
0.0951,5.5735,0.0256,45,0,115
0.0936,5.3934,-0.1362,45,0,115
0.0956,5.5074,-0.0732,45,0,115
0.0958,5.3905,0.1192,45,0,115
0.0928,5.4712,0.1361,45,0,115
0.1124,5.4011,0.0264,45,50,116
0.1102,5.5184,-0.0323,45,50,116
0.1157,5.5069,0.0850,45,50,116
0.1124,5.4522,0.0259,45,50,116
0.1119,5.3584,0.0463,45,50,116
0.1133,5.8145,0.1169,45,50,116
0.1060,5.3580,-0.0009,45,50,116
0.1099,5.5914,-0.0308,45,50,116
0.1094,5.6515,0.0161,45,50,116
