variance,kurtosis,skewness,frequency,load,label
0.0730,6.6143,0.0399,30,0,169
0.0712,6.6314,0.0640,30,0,169
0.0752,6.2651,0.0248,30,0,169
0.0754,6.1058,0.0293,30,0,169
0.0840,6.6841,0.1518,30,0,169
0.0827,6.4946,0.0449,30,0,169
0.0934,7.5757,-0.0145,30,0,169
0.0919,7.4630,-0.0597,30,0,169
0.0880,7.3218,-0.2154,30,0,169
0.0911,7.2799,-0.1180,30,0,169
0.0828,6.9925,-0.2236,30,0,169
0.0830,6.9335,-0.2456,30,0,169
0.0790,6.4229,0.0004,30,0,169
0.0798,6.8856,-0.0168,30,0,169
0.0754,6.9974,0.0590,30,0,169
0.0748,6.6046,0.0572,30,0,169
0.0706,6.7333,-0.0472,30,0,169
0.0703,6.5800,0.0550,30,0,169
0.0676,6.7205,-0.0591,30,0,169
0.0687,7.2084,0.0368,30,0,169
0.0689,6.6158,-0.0255,30,0,169
0.0707,6.8049,0.0877,30,0,169
0.0723,6.2241,-0.0039,30,0,169
0.0698,6.1580,-0.0577,30,0,169
0.0804,6.9141,0.0265,30,50,170
0.0815,7.0016,0.0860,30,50,170
0.0791,6.2720,0.1033,30,50,170
0.0792,6.3812,0.0663,30,50,170
0.0745,6.2750,0.1536,30,50,170
0.0751,6.5206,0.1633,30,50,170
0.0823,6.2893,0.0427,30,50,170
0.0830,6.2965,-0.0446,30,50,170
0.0793,6.3575,0.0940,30,50,170
0.0802,6.2908,0.1198,30,50,170
0.0889,6.8263,0.0108,30,50,170
0.0876,6.9239,-0.0154,30,50,170
0.0743,6.3592,0.1137,30,50,170
0.0734,6.2391,0.1904,30,50,170
0.0853,6.9009,-0.2099,30,50,170
0.0837,6.7595,-0.1774,30,50,170
0.0782,6.3695,0.1330,30,50,170
0.0780,6.4565,0.0614,30,50,170
0.0789,6.4217,-0.0065,30,50,170
0.0796,6.3753,-0.0932,30,50,170
0.0823,6.3190,-0.0415,30,50,170
0.0816,6.3586,-0.0631,30,50,170
0.0807,6.3159,0.1394,30,50,170
0.0801,6.1493,0.1243,30,50,170
0.0887,6.8058,-0.0129,30,100,171
0.0882,6.9720,-0.0300,30,100,171
0.0852,6.5055,0.0055,30,100,171
0.0851,6.5958,0.0377,30,100,171
0.0808,6.7667,0.0661,30,100,171
0.0797,6.6482,0.0536,30,100,171
0.0894,7.0422,0.2620,30,100,171
0.0877,6.8433,0.2171,30,100,171
0.0855,6.6988,0.0186,30,100,171
0.0838,6.2681,0.0109,30,100,171
0.0808,6.3398,-0.0767,30,100,171
0.0803,6.8396,-0.0783,30,100,171
0.0916,6.9140,-0.1159,30,100,171
0.0906,6.7991,-0.2511,30,100,171
0.0859,6.5229,0.1053,30,100,171
0.0847,6.4548,0.1637,30,100,171
0.0838,6.6489,0.1245,30,100,171
0.0796,6.3866,0.1198,30,100,171
0.0860,6.2864,0.1122,30,100,171
0.0854,6.5653,0.0946,30,100,171
0.0853,6.1751,-0.0837,30,100,171
