variance,kurtosis,skewness,frequency,load,label
0.0562,6.9260,-0.1097,30,0,22
0.0566,6.6499,0.0113,30,0,22
0.0554,6.1202,0.0273,30,0,22
0.0558,6.5786,0.0245,30,0,22
0.0571,6.1381,0.2141,30,0,22
0.0582,6.4055,0.0679,30,0,22
0.0574,6.5396,-0.0149,30,0,22
0.0563,6.2245,-0.0258,30,0,22
0.0598,6.6014,-0.1811,30,0,22
0.0592,6.6189,-0.1000,30,0,22
0.0504,5.8661,-0.0314,30,0,22
0.0524,6.6724,0.1240,30,0,22
0.0571,6.6333,0.0306,30,0,22
0.0572,6.0522,-0.0674,30,0,22
0.0552,6.6392,0.2341,30,0,22
0.0543,6.5182,0.0094,30,0,22
0.0562,6.8570,-0.0120,30,0,22
0.0570,6.8692,-0.0413,30,0,22
0.0560,5.7458,0.0959,30,0,22
0.0560,6.2182,0.0284,30,0,22
0.0591,6.2470,0.1030,30,0,22
0.0569,5.8796,0.0342,30,0,22
0.0581,6.4999,-0.2499,30,0,22
0.0594,6.7095,-0.1704,30,0,22
0.0642,6.1392,0.2016,30,50,23
0.0625,5.4916,0.1319,30,50,23
0.0664,5.3166,0.1287,30,50,23
0.0678,5.4040,0.0750,30,50,23
0.0682,5.3143,-0.1014,30,50,23
0.0679,5.3936,-0.0425,30,50,23
0.0676,5.2749,0.0572,30,50,23
0.0658,5.3909,0.0795,30,50,23
0.0665,5.8523,-0.0211,30,50,23
0.0649,5.6936,-0.1312,30,50,23
0.0679,6.2375,-0.2438,30,50,23
0.0673,5.8894,-0.1403,30,50,23
0.0651,5.5453,0.0187,30,50,23
0.0659,5.6983,0.0997,30,50,23
0.0696,5.7308,0.0670,30,50,23
0.0690,5.5839,-0.0609,30,50,23
0.0705,5.1834,-0.0776,30,50,23
0.0709,5.3800,-0.2137,30,50,23
0.0644,5.1839,0.0652,30,50,23
0.0656,5.5846,0.0545,30,50,23
0.0662,5.6875,0.0540,30,50,23
0.0658,5.8506,0.0400,30,50,23
0.0652,6.0877,-0.1970,30,50,23
0.0653,6.3066,-0.1445,30,50,23
0.0788,4.8369,0.0755,30,100,24
0.0787,5.0881,0.1083,30,100,24
0.0804,5.0409,0.0491,30,100,24
0.0817,4.7530,0.0617,30,100,24
0.0732,5.1692,0.0672,30,100,24
0.0733,5.0695,0.0733,30,100,24
0.0777,5.1216,-0.1051,30,100,24
0.0750,5.2177,-0.1685,30,100,24
0.0804,5.0858,0.0560,30,100,24
0.0778,4.8728,0.1210,30,100,24
0.0781,5.0706,-0.2020,30,100,24
0.0782,4.8877,-0.1280,30,100,24
0.0700,4.4053,0.1169,30,100,24
0.0757,5.0038,0.0796,30,100,24
0.0780,5.2931,0.0845,30,100,24
0.0789,5.3264,-0.0613,30,100,24
0.0802,5.0366,-0.1238,30,100,24
0.0774,5.0572,-0.1121,30,100,24
0.0786,5.0736,-0.0113,30,100,24
0.0782,4.8655,0.0617,30,100,24
0.0764,5.5528,-0.1419,30,100,24
0.0780,5.5720,-0.1214,30,100,24
0.0765,5.0521,0.0963,30,100,24
0.0774,5.3519,0.1772,30,100,24
0.0601,5.6174,0.2035,35,0,25
0.0587,5.4547,-0.0932,35,0,25
0.0585,6.5288,-0.2788,35,0,25
0.0588,5.7631,-0.0412,35,0,25
0.0584,5.9073,0.1617,35,0,25
0.0563,5.8186,-0.1675,35,0,25
0.0568,5.4721,-0.0646,35,0,25
0.0579,5.6624,0.2458,35,0,25
0.0579,6.1473,0.0926,35,0,25
0.0566,5.9888,0.0306,35,0,25
0.0607,6.0259,-0.1011,35,0,25
0.0605,5.8690,0.0677,35,0,25
0.0599,5.7048,0.0717,35,0,25
0.0577,5.7354,-0.2512,35,0,25
0.0572,5.7971,-0.0717,35,0,25
0.0580,5.9174,-0.0146,35,0,25
0.0577,5.6757,0.0994,35,0,25
0.0564,5.5471,-0.0224,35,0,25
0.0548,6.5531,-0.1748,35,0,25
0.0535,5.8181,-0.0365,35,0,25
0.0551,5.2329,0.1151,35,0,25
0.0572,6.0077,-0.2028,35,0,25
0.0604,6.2680,-0.0993,35,0,25
0.0579,5.2758,0.2049,35,0,25
0.0686,4.6822,-0.0865,35,50,26
0.0712,6.0708,-0.1592,35,50,26
0.0717,5.2950,0.0196,35,50,26
0.0697,5.0602,-0.0372,35,50,26
0.0660,5.3317,-0.0960,35,50,26
0.0679,4.9924,-0.0710,35,50,26
0.0695,5.2726,-0.0798,35,50,26
0.0696,5.6499,-0.0556,35,50,26
0.0704,5.8971,-0.1118,35,50,26
0.0676,4.9991,0.0239,35,50,26
0.0681,5.1590,-0.0674,35,50,26
0.0689,5.3931,0.0567,35,50,26
0.0691,5.3083,-0.0501,35,50,26
0.0683,5.5179,-0.1155,35,50,26
0.0743,5.2892,-0.1521,35,50,26
0.0748,5.1347,-0.0989,35,50,26
0.0688,4.8365,0.0450,35,50,26
0.0718,5.5736,-0.0080,35,50,26
0.0737,5.2701,-0.1110,35,50,26
0.0727,4.8364,-0.1697,35,50,26
0.0699,5.1976,-0.0611,35,50,26
0.0689,4.9179,0.0773,35,50,26
0.0741,5.0010,-0.0775,35,50,26
0.0756,5.3129,-0.1678,35,50,26
0.0837,4.2013,-0.0652,35,100,27
0.0870,4.6328,-0.0931,35,100,27
0.0860,4.5776,-0.1527,35,100,27
0.0830,4.0154,0.0049,35,100,27
0.0877,4.2780,0.0893,35,100,27
0.0871,4.4387,-0.1007,35,100,27
0.0849,4.6578,-0.1126,35,100,27
0.0867,4.8613,0.0399,35,100,27
0.0872,4.9119,0.0587,35,100,27
0.0829,4.3597,0.1120,35,100,27
0.0870,4.2645,0.0493,35,100,27
0.0882,4.6709,-0.1142,35,100,27
0.0880,4.5251,-0.1448,35,100,27
0.0891,4.5450,-0.0424,35,100,27
0.0865,4.7200,0.0674,35,100,27
0.0834,4.0194,0.0039,35,100,27
0.0800,4.1248,-0.0042,35,100,27
0.0840,4.9964,-0.1400,35,100,27
0.0833,4.6647,-0.0577,35,100,27
0.0812,4.3531,0.1662,35,100,27
0.0844,4.7923,0.1488,35,100,27
0.0863,4.8638,-0.0715,35,100,27
0.0790,4.6388,-0.0220,35,100,27
0.0827,5.3580,0.0456,35,100,27
0.0597,5.5768,-0.0218,40,0,28
0.0614,5.1316,0.0044,40,0,28
0.0596,5.1145,0.0354,40,0,28
0.0610,5.4054,0.0595,40,0,28
0.0623,5.3088,-0.1078,40,0,28
0.0628,5.3042,-0.1994,40,0,28
0.0603,5.5281,0.0412,40,0,28
0.0598,5.3169,0.0028,40,0,28
0.0600,5.4444,0.0487,40,0,28
0.0597,5.1130,-0.1143,40,0,28
0.0637,5.2190,-0.1754,40,0,28
0.0633,5.2458,-0.0544,40,0,28
0.0610,5.2973,-0.0109,40,0,28
0.0599,5.2123,-0.0121,40,0,28
0.0593,5.3325,-0.0417,40,0,28
0.0598,5.4013,0.0541,40,0,28
0.0623,5.3896,-0.2472,40,0,28
0.0648,6.0049,-0.1249,40,0,28
0.0612,5.8730,0.0424,40,0,28
0.0600,5.1135,0.0232,40,0,28
0.0595,5.5702,-0.0024,40,0,28
0.0580,5.3884,-0.0525,40,0,28
0.0607,5.4974,-0.1341,40,0,28
0.0627,5.6193,-0.1063,40,0,28
0.0751,4.2001,-0.0146,40,50,29
0.0760,4.4474,0.0358,40,50,29
0.0774,4.7422,0.0425,40,50,29
0.0785,4.2043,-0.0281,40,50,29
0.0777,5.0851,0.0635,40,50,29
0.0776,4.6078,0.0409,40,50,29
0.0771,4.5485,-0.1232,40,50,29
0.0793,4.8661,-0.0271,40,50,29
0.0786,5.1202,0.0835,40,50,29
0.0759,4.6195,0.0188,40,50,29
0.0780,4.5428,0.0023,40,50,29
0.0770,4.8093,-0.0610,40,50,29
0.0827,4.6126,-0.0720,40,50,29
0.0806,4.5286,-0.0142,40,50,29
0.0788,4.8435,-0.0459,40,50,29
0.0768,4.4783,0.0283,40,50,29
0.0755,4.4089,-0.0089,40,50,29
0.0742,4.6211,0.0649,40,50,29
0.0737,4.5564,0.0223,40,50,29
0.0752,4.6252,0.0099,40,50,29
0.0768,4.6988,-0.0258,40,50,29
0.0786,4.6421,0.0097,40,50,29
0.0776,4.8192,-0.0978,40,50,29
0.0758,4.8850,-0.1512,40,50,29
0.0925,4.2062,-0.0288,40,100,30
0.0909,4.1815,-0.0049,40,100,30
0.0916,4.3324,-0.1937,40,100,30
0.0931,4.5989,0.0585,40,100,30
0.0910,4.1243,-0.0770,40,100,30
0.0923,4.2744,0.1285,40,100,30
0.0936,4.1709,0.0466,40,100,30
0.0945,4.2416,0.0070,40,100,30
0.0919,4.4134,0.1645,40,100,30
0.0898,4.4458,-0.0924,40,100,30
0.0954,4.0263,0.0494,40,100,30
0.0940,4.0201,-0.0247,40,100,30
0.0915,4.3017,-0.0665,40,100,30
0.0920,4.6358,0.1102,40,100,30
0.0953,4.1613,-0.0093,40,100,30
0.0960,4.2549,0.0316,40,100,30
0.0933,4.1737,-0.0090,40,100,30
0.0963,4.3824,-0.0563,40,100,30
0.0935,4.2908,0.0854,40,100,30
0.0922,4.0560,-0.1432,40,100,30
0.0903,4.2430,0.0058,40,100,30
0.0883,4.1091,-0.0516,40,100,30
0.0964,4.1881,-0.0594,40,100,30
0.0931,4.2878,0.1284,40,100,30
0.0621,4.6499,0.0959,45,0,31
0.0640,4.9757,0.1506,45,0,31
0.0623,5.1432,-0.0976,45,0,31
0.0617,5.0890,0.0754,45,0,31
0.0645,4.8755,0.1034,45,0,31
0.0612,4.6760,-0.0350,45,0,31
0.0649,4.9762,-0.0621,45,0,31
0.0664,4.9785,-0.0723,45,0,31
0.0629,4.6524,-0.1262,45,0,31
0.0652,5.5813,0.0943,45,0,31
0.0620,5.1409,-0.0583,45,0,31
0.0585,4.6347,-0.1368,45,0,31
0.0611,4.9295,0.0138,45,0,31
0.0628,4.8569,-0.0792,45,0,31
0.0637,4.6629,-0.0652,45,0,31
0.0656,4.9380,-0.0097,45,0,31
0.0665,5.1979,-0.0940,45,0,31
0.0625,4.6603,-0.0330,45,0,31
0.0632,4.9863,0.0678,45,0,31
0.0627,5.0554,-0.1665,45,0,31
0.0604,4.8980,-0.1388,45,0,31
0.0663,5.4081,-0.1375,45,0,31
0.0647,5.1824,-0.0240,45,0,31
0.0626,4.8907,0.0291,45,0,31
0.0892,4.5728,-0.0385,45,50,32
0.0874,4.5463,0.0591,45,50,32
0.0876,4.3262,0.0187,45,50,32
0.0844,4.0410,-0.0544,45,50,32
0.0863,4.1206,0.0343,45,50,32
0.0889,4.3491,-0.0005,45,50,32
0.0886,4.4683,0.0203,45,50,32
0.0885,4.5037,-0.1354,45,50,32
0.0854,4.5701,-0.0511,45,50,32
0.0871,4.7224,-0.1265,45,50,32
0.0929,4.3542,0.0026,45,50,32
0.0884,4.2671,0.0370,45,50,32
0.0879,4.5337,0.1235,45,50,32
0.0855,4.4488,-0.0214,45,50,32
0.0880,4.4540,-0.0753,45,50,32
0.0842,4.2334,0.0013,45,50,32
0.0917,4.8047,0.1205,45,50,32
0.0879,4.3866,-0.1190,45,50,32
0.0876,4.3470,-0.0488,45,50,32
0.0926,4.5724,-0.0781,45,50,32
0.0913,4.5053,-0.0462,45,50,32
0.0851,4.2257,-0.0621,45,50,32
0.0885,4.4887,-0.0206,45,50,32
0.0866,4.2707,-0.0069,45,50,32
0.1079,3.9007,0.0691,45,100,33
0.1110,3.8782,-0.0365,45,100,33
0.1136,3.9020,-0.0120,45,100,33
0.1201,4.0257,-0.0027,45,100,33
0.1110,4.1677,0.0305,45,100,33
0.1072,4.2778,0.0602,45,100,33
0.1080,3.7254,-0.0143,45,100,33
0.1082,3.6627,-0.0012,45,100,33
0.1213,3.9472,-0.0152,45,100,33
0.1187,3.7919,-0.0043,45,100,33
0.1103,4.3233,-0.1255,45,100,33
0.1089,3.9527,0.0617,45,100,33
0.1162,3.8380,-0.0159,45,100,33
0.1118,3.7165,0.0248,45,100,33
0.1103,3.8154,-0.0211,45,100,33
0.1138,3.9548,-0.0093,45,100,33
0.1125,4.0009,0.0727,45,100,33
0.1100,3.9914,0.0409,45,100,33
0.1152,3.8912,0.0148,45,100,33
0.1162,4.1675,0.0031,45,100,33
0.1085,3.9420,-0.0368,45,100,33
0.1120,3.8767,-0.0830,45,100,33
0.1087,3.8000,0.0585,45,100,33
0.1071,3.7197,0.0422,45,100,33
0.0720,4.0745,0.1123,50,0,34
0.0732,4.0624,0.0614,50,0,34
0.0787,4.8297,-0.0199,50,0,34
0.0774,4.6883,0.0018,50,0,34
0.0777,4.2294,-0.0321,50,0,34
0.0766,4.2734,-0.0132,50,0,34
0.0719,4.4007,-0.0707,50,0,34
0.0727,4.7122,-0.0858,50,0,34
